year,month,total,min,max
1967,9,0.30,0.00,0.30
1967,10,32.80,0.00,88.60
1967,11,14.70,0.00,38.10
1968,12,26.90,0.00,78.50
1968,1,88.10,0.00,471.10
1968,2,89.40,0.00,251.80
1968,3,6.10,0.00,34.30
1968,4,6.60,0.00,24.30
1968,5,9.40,0.00,36.50
1968,6,2.00,0.00,3.40
1968,7,5.80,0.00,30.10
1968,8,3.30,0.00,3.60
1968,9,4.80,0.00,10.70
1968,10,6.40,0.00,9.20
1968,11,47.20,0.00,54.80
1969,12,18.50,0.00,32.00
1969,1,119.10,0.00,271.00
1969,2,19.80,0.00,65.00
1969,3,36.80,0.00,184.80
1969,4,8.10,0.00,33.60
1969,5,16.50,0.00,52.40
1969,6,22.10,0.00,64.70
1969,7,6.60,0.00,68.40
1969,8,3.00,0.00,7.90
1969,9,3.30,0.00,11.10
1969,10,6.40,0.00,12.20
1969,11,1.50,0.00,2.50
1970,12,37.60,0.00,146.90
1970,1,81.80,0.00,144.10
1970,2,79.50,0.00,352.00
1970,3,46.20,0.00,143.90
1970,4,35.80,0.00,89.40
1970,5,5.10,0.00,27.50
1970,6,10.90,0.00,26.40
1970,7,3.60,0.00,15.20
1970,8,92.70,0.00,119.10
1970,9,2.30,0.00,2.30
1970,10,10.70,0.00,25.20
1970,11,44.50,0.00,138.60
1971,12,52.30,0.00,268.60
1971,1,28.20,0.00,155.20
1971,2,64.50,0.00,328.20
1971,3,112.80,0.00,379.80
1971,4,73.90,0.00,216.50
1971,5,2.30,0.00,10.90
1971,6,31.20,0.00,46.50
1971,7,6.10,0.00,15.00
1971,8,5.10,0.00,12.30
1971,9,1.00,0.00,2.00
1971,10,20.80,0.00,28.70
1971,11,25.70,0.00,72.20
1972,12,65.50,0.00,133.70
1972,1,123.40,0.00,306.20
1972,2,78.00,0.00,383.90
1972,3,136.90,0.00,846.00
1972,4,18.50,0.00,55.00
1972,5,16.80,0.00,73.10
1972,6,21.80,0.00,58.80
1972,7,1.00,0.00,1.00
1972,8,4.30,0.00,8.40
1972,9,10.40,0.00,40.30
1972,10,0.00,0.00,0.00
1972,11,13.70,0.00,17.60
1973,12,18.30,0.00,26.10
1973,1,30.70,0.00,69.90
1973,2,34.00,0.00,274.00
1973,3,214.90,0.00,556.20
1973,4,32.50,0.00,162.50
1973,5,13.50,0.00,30.80
1973,6,8.40,0.00,37.10
1973,7,5.30,0.00,24.50
1973,8,4.30,0.00,9.10
1973,9,3.80,0.00,12.30
1973,10,8.40,0.00,30.30
1973,11,42.20,0.00,203.10
1974,12,67.30,0.00,234.20
1974,1,81.40,0.00,572.80
1974,2,100.60,0.00,369.60
1974,3,156.00,0.00,843.40
1974,4,16.00,0.00,53.80
1974,5,10.60,0.00,41.40
1974,6,12.20,0.00,26.40
1974,7,1.60,0.00,1.60
1974,8,42.00,0.00,52.60
1974,9,1.40,0.00,4.50
1974,10,5.40,0.00,6.30
1974,11,33.00,0.00,84.60
1975,12,26.00,0.00,96.80
1975,1,93.40,0.00,317.80
1975,2,85.00,0.00,275.00
1975,3,60.00,0.00,274.60
1975,4,39.60,0.00,103.20
