Year,Month,Max,Min,Total
2013,8,5.00,0.00,14.00
2013,9,17.00,0.00,66.00
2013,10,17.00,0.00,31.00
2013,11,36.00,0.00,185.00
2014,12,18.00,0.00,90.00
2014,1,131.00,0.00,404.00
2014,2,63.00,0.00,497.00
2014,3,125.00,0.00,374.00
2014,4,235.00,0.00,518.00
2014,5,48.00,0.00,171.00
2014,6,35.00,0.00,124.00
2014,7,14.00,0.00,63.00
2014,8,17.00,0.00,59.00
2014,9,2.00,0.00,7.00
2014,10,4.00,0.00,12.00
2014,11,9.00,0.00,20.00
2015,12,44.00,0.00,65.00
2015,1,51.00,0.00,291.00
2015,2,297.00,0.00,739.00
2015,3,118.00,0.00,312.00
2015,4,33.00,0.00,83.00
2015,5,12.00,0.00,47.00
2015,6,44.00,0.00,224.00
2015,7,6.00,0.00,39.00
2015,8,13.00,0.00,24.00
2015,9,19.00,0.00,30.00
2015,10,17.00,0.00,97.00
2015,11,17.00,0.00,92.00
2016,12,88.00,0.00,358.00
2016,1,19.00,0.00,80.00
2016,2,35.00,0.00,136.00
2016,3,63.00,0.00,212.00
2016,4,22.00,0.00,154.00
2016,5,117.00,0.00,230.00
2016,6,31.00,0.00,102.00
2016,7,54.00,0.00,145.00
2016,8,9.00,0.00,46.00
2016,9,21.00,0.00,86.00
2016,10,11.00,0.00,27.00
2016,11,9.00,0.00,23.00
2017,12,71.00,0.00,159.00
2017,1,59.00,0.00,443.00
2017,2,159.00,0.00,603.00
2017,3,47.00,0.00,224.00
2017,4,61.00,0.00,218.00
2017,5,16.00,0.00,67.00
2017,6,11.00,0.00,61.00
2017,7,35.00,0.00,100.00
2017,8,2.00,0.00,7.00
2017,9,46.00,0.00,61.00
2017,10,101.00,0.00,194.00
2017,11,29.00,0.00,121.00
2018,12,14.00,0.00,40.00
2018,1,140.00,0.00,704.00
2018,2,160.00,0.00,439.00
2018,3,244.00,0.00,1301.00
2018,4,33.00,0.00,64.00
2018,5,13.00,0.00,35.00
2018,6,14.00,0.00,62.00
2018,7,34.00,0.00,46.00
2018,8,2.00,0.00,5.00
2018,9,2.00,0.00,8.00
2018,10,7.00,0.00,23.00
2018,11,11.00,0.00,29.00
2019,12,250.00,0.00,1240.00
2019,1,219.00,0.00,994.00
2019,2,103.00,0.00,441.00
2019,3,97.00,0.00,503.00
2019,4,122.00,0.00,336.00
2019,5,24.00,0.00,133.00
2019,6,6.00,0.00,6.00
2019,7,2.00,0.00,5.00
2019,8,13.00,0.00,38.00
2019,9,3.00,0.00,5.00
2019,10,39.00,0.00,93.00
2019,11,3.00,0.00,6.00
2020,12,21.00,0.00,93.00
2020,1,159.00,0.00,509.00
2020,2,81.00,0.00,342.00
2020,3,49.00,0.00,226.00
2020,4,41.00,0.00,108.00
2020,5,79.00,0.00,206.00
2020,6,23.00,0.00,96.00
2020,7,40.00,0.00,72.00
2020,8,8.00,0.00,24.00
2020,9,28.00,0.00,106.00
2020,10,6.00,0.00,19.00
2020,11,23.00,0.00,104.00
2021,12,52.00,0.00,235.00
2021,1,210.00,0.00,693.00
2021,2,52.00,0.00,277.00
2021,3,77.00,0.00,180.00
2021,4,173.00,0.00,758.00
2021,5,17.00,0.00,101.00
2021,6,67.00,0.00,146.00
2021,7,67.00,0.00,115.00
2021,8,181.00,0.00,230.00
2021,9,181.00,0.00,205.00
